id,sentence,ambiguity_label,actor_text,actor_start,actor_end
458,The hero asked a question.,unambiguous,hero,4,8
459,A driver spoke clearly.,ambiguous,driver,2,8
460,"After joining the call, the lawyer arrived.",ambiguous,lawyer,28,34
461,Their dentist said he was busy.,unambiguous,dentist,6,13
462,The consultant answered quickly.,ambiguous,consultant,4,14
463,The musician will join the meeting.,ambiguous,musician,4,12
464,"At noon, the chairman gave a short update.",unambiguous,chairman,13,21
465,"After lunch, the queen finished the report.",unambiguous,queen,17,22
466,The private designer sent an email.,ambiguous,designer,12,20
467,"The landlord, who was available, finished the report.",unambiguous,landlord,4,12
468,"After lunch, the policewoman made a decision.",unambiguous,policewoman,17,28
469,The confident nurse said she would return later.,unambiguous,nurse,14,19
470,The visiting duke waited outside.,unambiguous,duke,13,17
471,"Because the therapist was late, the therapist walked in quietly.",ambiguous,therapist,12,21
472,"The photographer, who was calm, prepared carefully.",ambiguous,photographer,4,16
473,"Before the meeting, the therapist checked his bag.",unambiguous,therapist,24,33
474,"After answering questions, the counselor said she was confident.",unambiguous,counselor,31,40
475,"Before the meeting, the engineer checked her wallet.",unambiguous,engineer,24,32
476,"Because the instructor was focused, the instructor joined the call.",ambiguous,instructor,12,22
477,"Before the meeting, the engineer checked her notes.",unambiguous,engineer,24,32
478,"Because the therapist was confident, the therapist waited outside.",ambiguous,therapist,12,21
479,"The landlady, who was focused, left early.",unambiguous,landlady,4,12
480,The junior journalist arrived.,ambiguous,journalist,11,21
481,"Because the instructor was focused, the instructor gave a short update.",ambiguous,instructor,12,22
482,"After answering questions, the manager walked in quietly.",ambiguous,manager,31,38
483,"The therapist gave a lecture, and she seemed confident.",unambiguous,therapist,4,13
484,The careful manager said she would return later.,unambiguous,manager,12,19
485,The fireman returned later.,unambiguous,fireman,4,11
486,The king sat down.,unambiguous,king,4,8
487,"The artist, who was worried, stood near the window.",ambiguous,artist,4,10
488,The friendly pharmacist waited outside.,ambiguous,pharmacist,13,23
489,"The pharmacist, who was calm, paused for a moment.",ambiguous,pharmacist,4,14
490,"The coach joined the call, and she seemed ready.",unambiguous,coach,4,9
491,The translator said he was focused.,unambiguous,translator,4,14
492,"Because the accountant was ready, the accountant returned later.",ambiguous,accountant,12,22
493,The spokesman gave a short update.,unambiguous,spokesman,4,13
494,The confident principal said she would return later.,unambiguous,principal,14,23
495,Their receptionist arrived.,ambiguous,receptionist,6,18
496,The mechanic answered quickly in the afternoon.,ambiguous,mechanic,4,12
497,The librarian asked a question.,ambiguous,librarian,4,13
498,The artist stood near the window.,ambiguous,artist,4,10
499,A analyst opened the door.,ambiguous,analyst,2,9
500,"After closing the office, the consultant prepared carefully.",ambiguous,consultant,30,40
501,"After reading the email, the receptionist said she was focused.",unambiguous,receptionist,29,41
502,The analyst answered quickly.,ambiguous,analyst,4,11
503,Their accountant said he was tired.,unambiguous,accountant,6,16
504,The engineer opened the door.,ambiguous,engineer,4,12
505,Your developer said he was confident.,unambiguous,developer,5,14
506,Your pharmacist gave a lecture.,ambiguous,pharmacist,5,15
507,"The artist, who was available, called yesterday.",ambiguous,artist,4,10
508,The accountant said he will speak tomorrow.,unambiguous,accountant,4,14
509,Their pilot said she was available.,unambiguous,pilot,6,11
510,The supervisor will call later.,ambiguous,supervisor,4,14
511,Our accountant said he was late.,unambiguous,accountant,4,14
512,"Near the end of the day, the consultant gave a lecture.",ambiguous,consultant,29,39
513,"After joining the call, the actress paused for a moment.",unambiguous,actress,28,35
514,The quiet assistant finished the report.,ambiguous,assistant,10,19
515,My accountant said he was late.,unambiguous,accountant,3,13
516,The researcher forgot her laptop.,unambiguous,researcher,4,14
517,"The assistant asked a question, and she seemed available.",unambiguous,assistant,4,13
518,The scientist gave a lecture on Monday.,ambiguous,scientist,4,13
519,The artist introduced himself politely.,unambiguous,artist,4,10
520,The nurse entered the room.,ambiguous,nurse,4,9
521,"After lunch, the firewoman sat down.",unambiguous,firewoman,17,26
522,"Last week, the hostess made a decision.",unambiguous,hostess,15,22
523,"After reading the email, the instructor said he was focused.",unambiguous,instructor,29,39
524,The designer said she was worried.,unambiguous,designer,4,12
525,The teacher said she will finish the report.,unambiguous,teacher,4,11
526,The musician forgot his schedule.,unambiguous,musician,4,12
527,"The waiter, who was ready, gave a lecture.",unambiguous,waiter,4,10
528,"Last week, the businessman answered quickly.",unambiguous,businessman,15,26
529,"Because the librarian was worried, the librarian answered quickly.",ambiguous,librarian,12,21
530,"At noon, the hero opened the door.",unambiguous,hero,13,17
531,The duchess gave a short update.,unambiguous,duchess,4,11
532,Their receptionist smiled politely.,ambiguous,receptionist,6,18
533,"After preparing the report, the receptionist paused for a moment.",ambiguous,receptionist,32,44
534,The experienced prince checked the schedule.,unambiguous,prince,16,22
535,The busy queen called yesterday.,unambiguous,queen,9,14
536,The pharmacist paused for a moment in the afternoon.,ambiguous,pharmacist,4,14
537,The friendly hero sat down.,unambiguous,hero,13,17
538,The developer worked late after lunch.,ambiguous,developer,4,13
539,"The artist asked a question, and he seemed focused.",unambiguous,artist,4,10
540,The chef smiled politely.,ambiguous,chef,4,8
541,The pharmacist started the meeting last week.,ambiguous,pharmacist,4,14
542,"After reviewing the notes, the landlord smiled politely.",unambiguous,landlord,31,39
543,A pilot walked in quietly.,ambiguous,pilot,2,7
544,"Because the professor was calm, the professor called yesterday.",ambiguous,professor,12,21
545,A editor called yesterday.,ambiguous,editor,2,8
546,"Because the receptionist was late, the receptionist left early.",ambiguous,receptionist,12,24
547,The surgeon joined the call.,ambiguous,surgeon,4,11
548,"Because the photographer was ready, the photographer answered quickly.",ambiguous,photographer,12,24
549,"Yesterday, the chef answered quickly.",ambiguous,chef,15,19
550,The new translator waited outside.,ambiguous,translator,8,18
551,A accountant answered quickly.,ambiguous,accountant,2,12
552,The architect entered the room at noon.,ambiguous,architect,4,13
553,"Before the meeting, the writer checked her phone.",unambiguous,writer,24,30
554,"After finishing work, the veterinarian said she was ready.",unambiguous,veterinarian,26,38
555,The policewoman explained the issue.,unambiguous,policewoman,4,15
556,The receptionist introduced herself politely.,unambiguous,receptionist,4,16
557,"The empress, who was confident, finished the report.",unambiguous,empress,4,11
558,Their editor called yesterday.,ambiguous,editor,6,12
559,The researcher will finish the report.,ambiguous,researcher,4,14
560,"After finishing work, the pilot sat down.",ambiguous,pilot,26,31
561,The hero stood near the window.,unambiguous,hero,4,8
562,The developer explained the issue.,ambiguous,developer,4,13
563,The experienced pilot said he would return later.,unambiguous,pilot,16,21
564,The pharmacist sat down at noon.,ambiguous,pharmacist,4,14
565,My scientist said he was prepared.,unambiguous,scientist,3,12
566,The junior king entered the room.,unambiguous,king,11,15
567,The mechanic made a decision yesterday.,ambiguous,mechanic,4,12
568,"Because the instructor was confident, the instructor left early.",ambiguous,instructor,12,22
569,Our assistant paused for a moment.,ambiguous,assistant,4,13
570,"The saleswoman, who was tired, paused for a moment.",unambiguous,saleswoman,4,14
571,The driver gave a short update.,ambiguous,driver,4,10
572,"The doctor, who was busy, gave a lecture.",ambiguous,doctor,4,10
573,"Because the scientist was tired, the scientist opened the door.",ambiguous,scientist,12,21
574,The supervisor waited outside.,ambiguous,supervisor,4,14
575,"In the afternoon, the musician gave a lecture.",ambiguous,musician,22,30
576,The tired accountant said he would return later.,unambiguous,accountant,10,20
577,The spokeswoman asked a question.,unambiguous,spokeswoman,4,15
578,"On Monday, the steward left early.",unambiguous,steward,15,22
579,The tired designer gave a short update.,ambiguous,designer,10,18
580,The pharmacist opened the door this morning.,ambiguous,pharmacist,4,14
581,"Last week, the chairwoman finished the report.",unambiguous,chairwoman,15,25
582,The experienced mechanic waited outside.,ambiguous,mechanic,16,24
583,Our driver explained the issue.,ambiguous,driver,4,10
584,The busy instructor checked the schedule.,ambiguous,instructor,9,19
585,"The congressman, who was worried, worked late.",unambiguous,congressman,4,15
586,The famous emperor called yesterday.,unambiguous,emperor,11,18
587,"The accountant, who was worried, smiled politely.",ambiguous,accountant,4,14
588,The photographer gave a lecture near the end of the day.,ambiguous,photographer,4,16
589,Your principal said he was tired.,unambiguous,principal,5,14
590,"Because the engineer was available, the engineer asked a question.",ambiguous,engineer,12,20
591,The empress left early.,unambiguous,empress,4,11
592,The researcher said she was available.,unambiguous,researcher,4,14
593,"After answering questions, the policewoman arrived.",unambiguous,policewoman,31,42
594,The queen explained the issue.,unambiguous,queen,4,9
595,The translator left early at noon.,ambiguous,translator,4,14
596,A doctor joined the call.,ambiguous,doctor,2,8
597,"The waiter, who was late, left early.",unambiguous,waiter,4,10
598,"After finishing work, the chairman gave a lecture.",unambiguous,chairman,26,34
599,The director sent an email at noon.,ambiguous,director,4,12
600,The junior driver said he would return later.,unambiguous,driver,11,17
601,"The heroine, who was tired, asked a question.",unambiguous,heroine,4,11
602,The local landlord spoke clearly.,unambiguous,landlord,10,18
603,My artist said he was ready.,unambiguous,artist,3,9
604,"This morning, the developer asked a question.",ambiguous,developer,18,27
605,The lawyer said he will join the meeting.,unambiguous,lawyer,4,10
606,"Last week, the journalist waited outside.",ambiguous,journalist,15,25
607,The photographer spoke clearly after lunch.,ambiguous,photographer,4,16
608,"Before the meeting, the instructor checked his notebook.",unambiguous,instructor,24,34
609,The busy journalist said he would return later.,unambiguous,journalist,9,19
610,"The journalist, who was busy, joined the call.",ambiguous,journalist,4,14
611,"The lawyer called yesterday, and he seemed calm.",unambiguous,lawyer,4,10
612,The editor checked the schedule.,ambiguous,editor,4,10
613,A professor smiled politely.,ambiguous,professor,2,11
614,"Because the analyst was confident, the analyst sent an email.",ambiguous,analyst,12,19
615,"After preparing the report, the duke entered the room.",unambiguous,duke,32,36
616,"The librarian, who was tired, entered the room.",ambiguous,librarian,4,13
617,"The congressman, who was prepared, gave a lecture.",unambiguous,congressman,4,15
618,"Because the musician was tired, the musician paused for a moment.",ambiguous,musician,12,20
619,The lawyer answered quickly.,ambiguous,lawyer,4,10
620,The chef said she was calm.,unambiguous,chef,4,8
621,"The engineer, who said she was tired, opened the door.",unambiguous,engineer,4,12
622,The writer paused for a moment near the end of the day.,ambiguous,writer,4,10
623,My writer said she was available.,unambiguous,writer,3,9
624,The librarian said she was calm.,unambiguous,librarian,4,13
625,The chairwoman walked in quietly.,unambiguous,chairwoman,4,14
626,Their driver started the meeting.,ambiguous,driver,6,12
627,"Before the meeting, the teacher checked his wallet.",unambiguous,teacher,24,31
628,A translator smiled politely.,ambiguous,translator,2,12
629,The assistant forgot her wallet.,unambiguous,assistant,4,13
630,"Last week, the dentist answered quickly.",ambiguous,dentist,15,22
631,"Before the meeting, the pharmacist checked her badge.",unambiguous,pharmacist,24,34
632,"On Monday, the congressman paused for a moment.",unambiguous,congressman,15,26
633,The librarian introduced himself politely.,unambiguous,librarian,4,13
634,The hostess started the meeting.,unambiguous,hostess,4,11
635,The tired scientist said he would return later.,unambiguous,scientist,10,19
636,"Because the consultant was calm, the consultant answered quickly.",ambiguous,consultant,12,22
637,The local pilot gave a lecture.,ambiguous,pilot,10,15
638,The lawyer forgot her schedule.,unambiguous,lawyer,4,10
639,"The instructor, who was confident, joined the call.",ambiguous,instructor,4,14
640,Your receptionist made a decision.,ambiguous,receptionist,5,17
641,The chef arrived.,ambiguous,chef,4,8
642,The therapist asked a question.,ambiguous,therapist,4,13
643,The quiet researcher said he would return later.,unambiguous,researcher,10,20
644,The duchess asked a question.,unambiguous,duchess,4,11
645,"The surgeon gave a lecture, and she seemed available.",unambiguous,surgeon,4,11
646,"The lawyer, who was prepared, smiled politely.",ambiguous,lawyer,4,10
647,The saleswoman stood near the window.,unambiguous,saleswoman,4,14
648,The host returned later.,unambiguous,host,4,8
649,The senior chef smiled politely.,ambiguous,chef,11,15
650,"After checking the schedule, the counselor returned later.",ambiguous,counselor,33,42
651,"Yesterday, the princess started the meeting.",unambiguous,princess,15,23
652,"The musician, who was confident, paused for a moment.",ambiguous,musician,4,12
653,My driver walked in quietly.,ambiguous,driver,3,9
654,The dentist returned later.,ambiguous,dentist,4,11
655,"The businesswoman, who was calm, checked the schedule.",unambiguous,businesswoman,4,17
656,"The coach, who was ready, joined the call.",ambiguous,coach,4,9
657,"After checking the schedule, the nurse answered quickly.",ambiguous,nurse,33,38
658,My photographer opened the door.,ambiguous,photographer,3,15
659,"After reading the email, the therapist said he was calm.",unambiguous,therapist,29,38
660,"The principal, who said she was prepared, sat down.",unambiguous,principal,4,13
661,The older scientist called yesterday.,ambiguous,scientist,10,19
662,The manager forgot his badge.,unambiguous,manager,4,11
663,"The surgeon, who was tired, checked the schedule.",ambiguous,surgeon,4,11
664,The senior salesman gave a short update.,unambiguous,salesman,11,19
665,The friendly manager said she would return later.,unambiguous,manager,13,20
666,"Because the journalist was busy, the journalist checked the schedule.",ambiguous,journalist,12,22
667,My therapist said he was tired.,unambiguous,therapist,3,12
668,"The scientist, who said he was late, paused for a moment.",unambiguous,scientist,4,13
669,The assistant said he will speak tomorrow.,unambiguous,assistant,4,13
670,"Because the writer was confident, the writer finished the report.",ambiguous,writer,12,18
671,Your supervisor started the meeting.,ambiguous,supervisor,5,15
672,"The fireman, who was calm, spoke clearly.",unambiguous,fireman,4,11
673,"After answering questions, the hostess sat down.",unambiguous,hostess,31,38
674,"Because the artist was available, the artist entered the room.",ambiguous,artist,12,18
675,The spokesman walked in quietly.,unambiguous,spokesman,4,13
676,"Because the counselor was tired, the counselor worked late.",ambiguous,counselor,12,21
677,"After preparing the report, the policeman smiled politely.",unambiguous,policeman,32,41
678,The tired surgeon worked late.,ambiguous,surgeon,10,17
679,"After joining the call, the policewoman sat down.",unambiguous,policewoman,28,39
680,"The landlord, who was available, explained the issue.",unambiguous,landlord,4,12
681,"The artist, who was worried, answered quickly.",ambiguous,artist,4,10
682,"After reading the email, the lawyer said he was ready.",unambiguous,lawyer,29,35
683,The developer said he was confident.,unambiguous,developer,4,13
684,My researcher joined the call.,ambiguous,researcher,3,13
685,The consultant explained the issue.,ambiguous,consultant,4,14
686,"The king, who was confident, answered quickly.",unambiguous,king,4,8
687,Their teacher said he was late.,unambiguous,teacher,6,13
688,"The surgeon, who was late, checked the schedule.",ambiguous,surgeon,4,11
689,"Before the meeting, the principal checked his bag.",unambiguous,principal,24,33
690,"The counselor arrived, and she seemed late.",unambiguous,counselor,4,13
691,The hostess asked a question.,unambiguous,hostess,4,11
692,The busy architect asked a question.,ambiguous,architect,9,18
693,The director said she will join the meeting.,unambiguous,director,4,12
694,"Because the editor was prepared, the editor spoke clearly.",ambiguous,editor,12,18
695,"This morning, the spokeswoman started the meeting.",unambiguous,spokeswoman,18,29
696,"Because the designer was prepared, the designer stood near the window.",ambiguous,designer,12,20
697,The doctor sat down this morning.,ambiguous,doctor,4,10
698,Your accountant said he was worried.,unambiguous,accountant,5,15
699,"Before the meeting, the librarian spoke clearly.",ambiguous,librarian,24,33
700,"The engineer, who was busy, made a decision.",ambiguous,engineer,4,12
701,"The translator, who said he was available, waited outside.",unambiguous,translator,4,14
702,"After preparing the report, the lawyer smiled politely.",ambiguous,lawyer,32,38
703,The coach introduced himself politely.,unambiguous,coach,4,9
704,"After finishing work, the duke checked the schedule.",unambiguous,duke,26,30
705,"After answering questions, the consultant finished the report.",ambiguous,consultant,31,41
706,The developer will join the meeting.,ambiguous,developer,4,13
707,"After lunch, the analyst walked in quietly.",ambiguous,analyst,17,24
708,The prince gave a lecture.,unambiguous,prince,4,10
709,"The dentist, who was available, opened the door.",ambiguous,dentist,4,11
710,The artist called yesterday before the meeting.,ambiguous,artist,4,10
711,"Before the meeting, the engineer checked her schedule.",unambiguous,engineer,24,32
712,"The veterinarian gave a lecture, and he seemed tired.",unambiguous,veterinarian,4,16
713,"Before the meeting, the researcher checked her keys.",unambiguous,researcher,24,34
714,The empress started the meeting.,unambiguous,empress,4,11
715,The editor gave a short update after lunch.,ambiguous,editor,4,10
716,The engineer said he was busy.,unambiguous,engineer,4,12
717,The friendly saleswoman prepared carefully.,unambiguous,saleswoman,13,23
718,The young driver said he would return later.,unambiguous,driver,10,16
719,"After reading the email, the actress asked a question.",unambiguous,actress,29,36
720,The editor returned later in the afternoon.,ambiguous,editor,4,10
721,"After checking the schedule, the musician arrived.",ambiguous,musician,33,41
722,The scientist will finish the report.,ambiguous,scientist,4,13
723,"The chairman, who was calm, sent an email.",unambiguous,chairman,4,12
724,The new chef started the meeting.,ambiguous,chef,8,12
725,The researcher said he will call later.,unambiguous,researcher,4,14
726,"Because the librarian was late, the librarian checked the schedule.",ambiguous,librarian,12,21
727,"After lunch, the actress paused for a moment.",unambiguous,actress,17,24
728,Our analyst returned later.,ambiguous,analyst,4,11
729,"The analyst, who said he was available, finished the report.",unambiguous,analyst,4,11
730,"The designer, who was focused, worked late.",ambiguous,designer,4,12
731,The prince started the meeting.,unambiguous,prince,4,10
732,"Because the assistant was busy, the assistant walked in quietly.",ambiguous,assistant,12,21
733,The professor will call later.,ambiguous,professor,4,13
734,"Because the dentist was confident, the dentist gave a lecture.",ambiguous,dentist,12,19
735,"The emperor, who was busy, explained the issue.",unambiguous,emperor,4,11
736,Their veterinarian said he was prepared.,unambiguous,veterinarian,6,18
737,The artist said she will speak tomorrow.,unambiguous,artist,4,10
738,"After checking the schedule, the counselor said he was late.",unambiguous,counselor,33,42
739,The engineer forgot his badge.,unambiguous,engineer,4,12
740,"After finishing work, the director said she was busy.",unambiguous,director,26,34
741,The artist will arrive soon.,ambiguous,artist,4,10
742,Their assistant gave a short update.,ambiguous,assistant,6,15
743,"The analyst, who said he was calm, gave a short update.",unambiguous,analyst,4,11
744,The editor sent an email.,ambiguous,editor,4,10
745,"During the event, the empress walked in quietly.",unambiguous,empress,22,29
746,The tired coach returned later.,ambiguous,coach,10,15
747,The coach asked a question.,ambiguous,coach,4,9
748,The instructor said she will arrive soon.,unambiguous,instructor,4,14
749,"Because the consultant was calm, the consultant opened the door.",ambiguous,consultant,12,22
750,The analyst introduced himself politely.,unambiguous,analyst,4,11
751,"The chef, who said he was busy, returned later.",unambiguous,chef,4,8
752,The pharmacist introduced himself politely.,unambiguous,pharmacist,4,14
753,The driver gave a lecture yesterday.,ambiguous,driver,4,10
754,The editor said he was calm.,unambiguous,editor,4,10
755,"On Monday, the businessman gave a lecture.",unambiguous,businessman,15,26
756,The instructor explained the issue before the meeting.,ambiguous,instructor,4,14
757,"Before the meeting, the chef checked his schedule.",unambiguous,chef,24,28
758,"The firewoman, who was confident, finished the report.",unambiguous,firewoman,4,13
759,Their principal said he was available.,unambiguous,principal,6,15
760,My engineer sat down.,ambiguous,engineer,3,11
761,"After preparing the report, the coach joined the call.",ambiguous,coach,32,37
762,The coach forgot his keys.,unambiguous,coach,4,9
763,The famous editor said he would return later.,unambiguous,editor,11,17
764,Our consultant said he was confident.,unambiguous,consultant,4,14
765,Their musician spoke clearly.,ambiguous,musician,6,14
766,"The driver checked the schedule, and she seemed available.",unambiguous,driver,4,10
767,"Near the end of the day, the engineer sent an email.",ambiguous,engineer,29,37
768,"Before the meeting, the therapist checked his laptop.",unambiguous,therapist,24,33
769,"This morning, the fireman finished the report.",unambiguous,fireman,18,25
770,Your mechanic paused for a moment.,ambiguous,mechanic,5,13
771,"After preparing the report, the policewoman entered the room.",unambiguous,policewoman,32,43
772,The visiting businessman arrived.,unambiguous,businessman,13,24
773,"Because the pharmacist was late, the pharmacist arrived.",ambiguous,pharmacist,12,22
774,The supervisor smiled politely after lunch.,ambiguous,supervisor,4,14
775,"Before the meeting, the pilot checked her bag.",unambiguous,pilot,24,29
776,Our manager said she was prepared.,unambiguous,manager,4,11
777,The private assistant said he would return later.,unambiguous,assistant,12,21
778,The older consultant started the meeting.,ambiguous,consultant,10,20
779,"The veterinarian, who was busy, prepared carefully.",ambiguous,veterinarian,4,16
780,"Because the assistant was confident, the assistant explained the issue.",ambiguous,assistant,12,21
781,The doctor will speak tomorrow.,ambiguous,doctor,4,10
782,Our photographer said he was busy.,unambiguous,photographer,4,16
783,"The waiter, who was confident, smiled politely.",unambiguous,waiter,4,10
784,The editor said she was focused.,unambiguous,editor,4,10
785,The famous principal said he would return later.,unambiguous,principal,11,20
786,The artist opened the door this morning.,ambiguous,artist,4,10
787,"At noon, the designer arrived.",ambiguous,designer,13,21
788,"The teacher, who said she was worried, sat down.",unambiguous,teacher,4,11
789,The artist said she was worried.,unambiguous,artist,4,10
790,"After answering questions, the developer gave a lecture.",ambiguous,developer,31,40
791,"The director sent an email, and he seemed calm.",unambiguous,director,4,12
792,"The chairman, who was calm, asked a question.",unambiguous,chairman,4,12
793,The lawyer called yesterday yesterday.,ambiguous,lawyer,4,10
794,"The congressman, who was worried, prepared carefully.",unambiguous,congressman,4,15
795,"The consultant, who was worried, gave a lecture.",ambiguous,consultant,4,14
796,My accountant said she was confident.,unambiguous,accountant,3,13
797,The translator said she was focused.,unambiguous,translator,4,14
798,"The translator sent an email, and she seemed worried.",unambiguous,translator,4,14
799,My journalist waited outside.,ambiguous,journalist,3,13
800,The chef will call later.,ambiguous,chef,4,8
801,"After finishing work, the congressman started the meeting.",unambiguous,congressman,26,37
802,The veterinarian said he was tired.,unambiguous,veterinarian,4,16
803,"Yesterday, the actress prepared carefully.",unambiguous,actress,15,22
804,"The driver, who said he was tired, prepared carefully.",unambiguous,driver,4,10
805,The experienced consultant said she would return later.,unambiguous,consultant,16,26
806,The lawyer walked in quietly after lunch.,ambiguous,lawyer,4,10
807,My director checked the schedule.,ambiguous,director,3,11
808,The counselor waited outside.,ambiguous,counselor,4,13
809,The researcher said she was busy.,unambiguous,researcher,4,14
810,"After finishing work, the nurse returned later.",ambiguous,nurse,26,31
811,A mechanic called yesterday.,ambiguous,mechanic,2,10
812,"During the event, the coach sent an email.",ambiguous,coach,22,27
813,The director said she was available.,unambiguous,director,4,12
814,The heroine left early.,unambiguous,heroine,4,11
815,"The firewoman, who was calm, opened the door.",unambiguous,firewoman,4,13
816,Your editor left early.,ambiguous,editor,5,11
817,"The accountant, who was late, arrived.",ambiguous,accountant,4,14
818,The confident editor left early.,ambiguous,editor,14,20
819,"Before the meeting, the receptionist checked her wallet.",unambiguous,receptionist,24,36
820,The doctor said she was tired.,unambiguous,doctor,4,10
821,"On Monday, the policeman started the meeting.",unambiguous,policeman,15,24
822,"The landlady, who was focused, made a decision.",unambiguous,landlady,4,12
823,The designer called yesterday.,ambiguous,designer,4,12
824,"Before the meeting, the counselor checked her coat.",unambiguous,counselor,24,33
825,A supervisor prepared carefully.,ambiguous,supervisor,2,12
826,"After joining the call, the queen sat down.",unambiguous,queen,28,33
827,"After finishing work, the writer said she was focused.",unambiguous,writer,26,32
828,"Before the meeting, the instructor checked his phone.",unambiguous,instructor,24,34
829,The principal started the meeting last week.,ambiguous,principal,4,13
830,"After closing the office, the spokeswoman answered quickly.",unambiguous,spokeswoman,30,41
831,Our architect sat down.,ambiguous,architect,4,13
832,The older manager said he would return later.,unambiguous,manager,10,17
833,"The journalist, who said she was late, left early.",unambiguous,journalist,4,14
834,The busy steward left early.,unambiguous,steward,9,16
835,"After closing the office, the heroine checked the schedule.",unambiguous,heroine,30,37
836,The confident policeman gave a short update.,unambiguous,policeman,14,23
837,The duchess stood near the window.,unambiguous,duchess,4,11
838,The designer said she will join the meeting.,unambiguous,designer,4,12
839,The writer sat down.,ambiguous,writer,4,10
840,"Because the artist was prepared, the artist arrived.",ambiguous,artist,12,18
841,"After answering questions, the receptionist said she was calm.",unambiguous,receptionist,31,43
842,"After reading the email, the journalist said she was late.",unambiguous,journalist,29,39
843,The manager said he will join the meeting.,unambiguous,manager,4,11
844,"After finishing work, the mechanic entered the room.",ambiguous,mechanic,26,34
845,The pharmacist will finish the report.,ambiguous,pharmacist,4,14
846,"Before the meeting, the scientist checked his notes.",unambiguous,scientist,24,33
847,The consultant will finish the report.,ambiguous,consultant,4,14
848,The pharmacist said he will finish the report.,unambiguous,pharmacist,4,14
849,My architect finished the report.,ambiguous,architect,3,12
850,Your lawyer paused for a moment.,ambiguous,lawyer,5,11
851,"Because the translator was confident, the translator entered the room.",ambiguous,translator,12,22
852,"Because the musician was late, the musician entered the room.",ambiguous,musician,12,20
853,Our translator arrived.,ambiguous,translator,4,14
854,"The pharmacist, who was ready, gave a short update.",ambiguous,pharmacist,4,14
855,The dentist entered the room.,ambiguous,dentist,4,11
856,"After closing the office, the mechanic explained the issue.",ambiguous,mechanic,30,38
857,"After reading the email, the librarian worked late.",ambiguous,librarian,29,38
858,The librarian finished the report before the meeting.,ambiguous,librarian,4,13
859,"The designer, who was prepared, walked in quietly.",ambiguous,designer,4,12
860,"After checking the schedule, the chairman sat down.",unambiguous,chairman,33,41
861,"The editor, who said he was calm, smiled politely.",unambiguous,editor,4,10
862,The consultant will join the meeting.,ambiguous,consultant,4,14
863,The hero finished the report.,unambiguous,hero,4,8
864,The older accountant said he would return later.,unambiguous,accountant,10,20
865,Your supervisor paused for a moment.,ambiguous,supervisor,5,15
866,"The manager, who said she was worried, stood near the window.",unambiguous,manager,4,11
867,"Because the accountant was focused, the accountant explained the issue.",ambiguous,accountant,12,22
868,The translator gave a short update yesterday.,ambiguous,translator,4,14
869,The older translator said she would return later.,unambiguous,translator,10,20
870,My driver said he was calm.,unambiguous,driver,3,9
871,"After reviewing the notes, the dentist returned later.",ambiguous,dentist,31,38
872,Your architect said he was calm.,unambiguous,architect,5,14
873,A consultant opened the door.,ambiguous,consultant,2,12
874,"Before the meeting, the empress arrived.",unambiguous,empress,24,31
875,"The pharmacist joined the call, and she seemed late.",unambiguous,pharmacist,4,14
876,"Because the artist was busy, the artist finished the report.",ambiguous,artist,12,18
877,The dentist answered quickly after lunch.,ambiguous,dentist,4,11
878,"The designer, who was busy, started the meeting.",ambiguous,designer,4,12
879,The careful salesman spoke clearly.,unambiguous,salesman,12,20
880,The stewardess explained the issue.,unambiguous,stewardess,4,14
881,"Before the meeting, the doctor checked her badge.",unambiguous,doctor,24,30
882,"The developer worked late, and she seemed focused.",unambiguous,developer,4,13
883,"The fireman, who was prepared, worked late.",unambiguous,fireman,4,11
884,The junior supervisor spoke clearly.,ambiguous,supervisor,11,21
885,"The editor, who said she was focused, sat down.",unambiguous,editor,4,10
886,"After joining the call, the assistant said he was focused.",unambiguous,assistant,28,37
887,The teacher will speak tomorrow.,ambiguous,teacher,4,11
888,The analyst will join the meeting.,ambiguous,analyst,4,11
889,"After finishing work, the assistant made a decision.",ambiguous,assistant,26,35
890,"Because the coach was confident, the coach answered quickly.",ambiguous,coach,12,17
891,The pharmacist will speak tomorrow.,ambiguous,pharmacist,4,14
892,"After answering questions, the artist said she was worried.",unambiguous,artist,31,37
893,"The lawyer walked in quietly, and he seemed calm.",unambiguous,lawyer,4,10
894,"After answering questions, the musician explained the issue.",ambiguous,musician,31,39
895,"The analyst, who said he was available, sat down.",unambiguous,analyst,4,11
896,"After checking the schedule, the architect called yesterday.",ambiguous,architect,33,42
897,"After answering questions, the consultant said he was prepared.",unambiguous,consultant,31,41
898,"Because the assistant was busy, the assistant joined the call.",ambiguous,assistant,12,21
899,The therapist forgot her notes.,unambiguous,therapist,4,13
900,The pharmacist said he was ready.,unambiguous,pharmacist,4,14
901,Your editor explained the issue.,ambiguous,editor,5,11
902,"After closing the office, the spokeswoman started the meeting.",unambiguous,spokeswoman,30,41
903,The professor will finish the report.,ambiguous,professor,4,13
904,"After answering questions, the receptionist called yesterday.",ambiguous,receptionist,31,43
905,The director will finish the report.,ambiguous,director,4,12
906,The dentist prepared carefully before the meeting.,ambiguous,dentist,4,11
907,The fireman arrived.,unambiguous,fireman,4,11
908,The scientist smiled politely at noon.,ambiguous,scientist,4,13
909,The coach opened the door last week.,ambiguous,coach,4,9
910,"After checking the schedule, the receptionist said he was tired.",unambiguous,receptionist,33,45
911,The famous engineer spoke clearly.,ambiguous,engineer,11,19
